States,year,production,crop_name
Sokoto,1995,16.17,Rice
Abuja,1995,8.27,Rice
Abia,1995,8.3,Rice
Adamawa,1995,41.37,Rice
Akwa Ibom,1995,0.52,Rice
Anambra,1995,4.17,Rice
Bauchi,1995,23,Rice
Benue,1995,266.21,Rice
Borno,1995,47.95,Rice
Cross River,1995,0.11,Rice
Delta,1995,1.1,Rice
Ebonyi,1995,95.54,Rice
Edo,1995,4.7,Rice
Ekiti,1995,50.81,Rice
Enugu,1995,37.26,Rice
Gombe,1995,60.08,Rice
Imo,1995,,Rice
Jigawa,1995,12.32,Rice
Kaduna,1995,268.92,Rice
Kano,1995,231.02,Rice
Katsina,1995,12.07,Rice
Kebbi,1995,29,Rice
Kogi,1995,89.18,Rice
Kwara,1995,35,Rice
Lagos,1995,0.05,Rice
Nassarawa,1995,116.07,Rice
Niger,1995,133.09,Rice
Ogun,1995,14.82,Rice
Ondo,1995,46.63,Rice
Osun,1995,11.26,Rice
Oyo,1995,2.88,Rice
Plateau,1995,61.96,Rice
Rivers,1995,12.26,Rice
Taraba,1995,210.11,Rice
Yobe,1995,15.6,Rice
Zamfara,1995,26.22,Rice
Sokoto,1995,14.9,Maize
Abuja,1995,6.05,Maize
Abia,1995,65.69,Maize
Adamawa,1995,94.64,Maize
Akwa Ibom,1995,40.1,Maize
Anambra,1995,27.92,Maize
Bauchi,1995,189.66,Maize
Bayelsa,1995,2.74,Maize
Benue,1995,149.04,Maize
Borno,1995,553.25,Maize
Cross River,1995,86.85,Maize
Delta,1995,83.34,Maize
Ebonyi,1995,63.09,Maize
Edo,1995,57.9,Maize
Ekiti,1995,89.8,Maize
Enugu,1995,86.99,Maize
Gombe,1995,313.11,Maize
Imo,1995,116.15,Maize
Jigawa,1995,13.16,Maize
Kaduna,1995,751.75,Maize
Kano,1995,164.56,Maize
Katsina,1995,196.01,Maize
Kebbi,1995,29,Maize
Kogi,1995,123.58,Maize
Kwara,1995,113.11,Maize
Lagos,1995,0.47,Maize
Nassarawa,1995,99.41,Maize
Niger,1995,463.64,Maize
Ogun,1995,72.63,Maize
Ondo,1995,170.64,Maize
Osun,1995,83.42,Maize
Oyo,1995,185.4,Maize
Plateau,1995,311.31,Maize
Rivers,1995,170.3,Maize
Taraba,1995,76.04,Maize
Yobe,1995,9.9,Maize
Zamfara,1995,45.15,Maize
Sokoto,1996,16.99,Rice
Abuja,1996,4.7,Rice
Abia,1996,10.66,Rice
Adamawa,1996,58.19,Rice
Akwa Ibom,1996,0.58,Rice
Anambra,1996,27.6,Rice
Bauchi,1996,25.09,Rice
Benue,1996,212.56,Rice
Borno,1996,45.33,Rice
Cross River,1996,0.13,Rice
Delta,1996,1.84,Rice
Ebonyi,1996,119.11,Rice
Edo,1996,7.9,Rice
Ekiti,1996,52,Rice
Enugu,1996,46.91,Rice
Gombe,1996,59.75,Rice
Imo,1996,0.14,Rice
Jigawa,1996,16.8,Rice
Kaduna,1996,834.19,Rice
Kano,1996,74.01,Rice
Katsina,1996,37.43,Rice
Kebbi,1996,47,Rice
Kogi,1996,93.92,Rice
Kwara,1996,86.28,Rice
Lagos,1996,1.2,Rice
Nassarawa,1996,163.11,Rice
Niger,1996,643.88,Rice
